Occurrence Date,Day of Week,Offense,Sector,Precinct,Latitude,Longitude
10/02/2015 12:11:00 PM,Monday,GRAND LARCENY,B,25,40.8043840460001,-73.9374216689999
09/06/2015 02:00:00 AM,Wednesday,FELONY ASSAULT,G,90,40.703707008,-73.943257966
12/10/2015 04:45:00 PM,Sunday,FELONY ASSAULT,C,18,40.7613110390001,-73.973083376
12/01/2015 02:30:00 PM,Friday,GRAND LARCENY,H,94,40.7175732060001,-73.9625349519999
02/13/2014 12:00:00 AM,Thursday,BURGLARY,E,78,40.6751293930001,-73.9781761209999
02/13/2014 12:00:00 AM,Thursday,GRAND LARCENY,E,84,40.691319735,-73.990441984
02/13/2014 12:01:00 AM,Thursday,GRAND LARCENY,A,73,40.685875326,-73.9177773059999
02/13/2014 12:04:00 AM,Thursday,BURGLARY,E,9,40.7255472270001,-73.994964909
02/13/2014 12:10:00 AM,Thursday,BURGLARY,C,110,40.7320031690001,-73.876980346
02/13/2014 12:15:00 AM,Thursday,GRAND LARCENY,E,84,40.6922416740001,-73.987300996
02/13/2014 12:30:00 AM,Thursday,GRAND LARCENY,G,19,40.7678315320001,-73.9601095579999
02/13/2014 12:30:00 AM,Thursday,ROBBERY,A,25,40.7973212430001,-73.9315050769999
02/13/2014 12:35:00 AM,Thursday,GRAND LARCENY,C,20,40.777254828,-73.986346022
02/13/2014 01:00:00 AM,Thursday,GRAND LARCENY,,60,40.581548248,-73.965761302
02/13/2014 01:00:00 AM,Thursday,GRAND LARCENY,E,79,40.694728158,-73.9418267469999
02/13/2014 01:05:00 AM,Thursday,ROBBERY,G,81,40.6856211,-73.923254641
02/13/2014 01:45:00 AM,Thursday,ROBBERY,I,102,40.691969074,-73.863315265
02/13/2014 01:45:00 AM,Thursday,GRAND LARCENY,G,115,40.750483167,-73.887286548
02/13/2014 02:00:00 AM,Thursday,ROBBERY,I,75,40.6700774940001,-73.8686808689999
02/13/2014 02:00:00 AM,Thursday,GRAND LARCENY,N,109,40.772603933,-73.8155756479999
02/13/2014 02:05:00 AM,Thursday,ROBBERY,A,110,40.7425413020001,-73.88596835
02/13/2014 02:20:00 AM,Thursday,FELONY ASSAULT,C,30,40.8251482850001,-73.9494703519999
02/13/2014 02:29:00 AM,Thursday,ROBBERY,A,70,40.6138839020001,-73.963111802
02/13/2014 02:30:00 AM,Thursday,FELONY ASSAULT,B,20,40.784059874,-73.9750205129999
02/13/2014 03:00:00 AM,Thursday,FELONY ASSAULT,C,10,40.7434704550001,-74.005393004
02/13/2014 03:15:00 AM,Thursday,FELONY ASSAULT,G,60,40.5767031510001,-73.99452975
02/13/2014 03:20:00 AM,Thursday,FELONY ASSAULT,J,71,40.6605320900001,-73.944011949
02/13/2014 03:25:00 AM,Thursday,ROBBERY,K,75,40.661913385,-73.880220199
02/13/2014 04:10:00 AM,Thursday,ROBBERY,C,114,40.756728712,-73.914213875
02/13/2014 04:50:00 AM,Thursday,GRAND LARCENY,C,105,40.664645358,-73.734782501
02/13/2014 05:25:00 AM,Thursday,FELONY ASSAULT,B,23,40.7906045570001,-73.946434134
02/13/2014 05:40:00 AM,Thursday,GRAND LARCENY,G,75,40.6782946110001,-73.8832624789999
02/13/2014 07:00:00 AM,Thursday,GRAND LARCENY,J,104,40.7309162070001,-73.890538094
02/13/2014 07:20:00 AM,Thursday,FELONY ASSAULT,D,84,40.6997972620001,-73.981669902
02/13/2014 07:40:00 AM,Thursday,ROBBERY,G,66,40.638682804,-73.971814087
02/13/2014 08:00:00 AM,Thursday,BURGLARY,D,106,40.6770289580001,-73.851978641
02/13/2014 08:00:00 AM,Thursday,GRAND LARCENY,I,104,40.7061982810001,-73.914938943
02/13/2014 08:00:00 AM,Thursday,GRAND LARCENY,B,112,40.719136631,-73.8520835369999
02/13/2014 08:00:00 AM,Thursday,GRAND LARCENY,I,115,40.7502783300001,-73.8629141119999
02/13/2014 08:00:00 AM,Thursday,GRAND LARCENY,E,115,40.754492838,-73.895592225
02/13/2014 08:00:00 AM,Thursday,GRAND LARCENY,C,115,40.7563473970001,-73.8779316119999
02/13/2014 08:00:00 AM,Thursday,FELONY ASSAULT,C,40,40.807199186,-73.9183535019999
02/13/2014 08:00:00 AM,Thursday,FELONY ASSAULT,,69,40.648421119,-73.904897109
02/13/2014 08:00:00 AM,Thursday,FELONY ASSAULT,,69,40.648421119,-73.904897109
02/13/2014 08:12:00 AM,Thursday,ROBBERY,G,66,40.6364152260001,-73.970290969
02/13/2014 08:40:00 AM,Thursday,ROBBERY,F,67,40.6416391490001,-73.937527449
02/13/2014 08:45:00 AM,Thursday,ROBBERY,A,28,40.798262263,-73.9524849219999
02/13/2014 08:56:00 AM,Thursday,FELONY ASSAULT,I,77,40.6724490390001,-73.932174059
02/13/2014 08:58:00 AM,Thursday,ROBBERY,D,10,40.7468274060001,-74.001087754
02/13/2014 09:00:00 AM,Thursday,GRAND LARCENY,A,66,40.6134486710001,-73.9670343769999
02/13/2014 09:00:00 AM,Thursday,GRAND LARCENY,C,32,40.813107346,-73.938471954
02/13/2014 09:00:00 AM,Thursday,GRAND LARCENY,M,32,40.8244524630001,-73.940745006
02/13/2014 09:30:00 AM,Thursday,BURGLARY,,90,40.7044895710001,-73.9645909079999
02/13/2014 09:35:00 AM,Thursday,GRAND LARCENY,I,67,40.6527967980001,-73.919962394
02/13/2014 09:45:00 AM,Thursday,ROBBERY,I,60,40.590433977,-73.981123832
